Date	PM2.5	Aluminum	Ammonium Ion	Arsenic	Barium	Bromine	Calcium	Chlorine	Chromium	Copper	Elemental Carbon	Iron	Lead	Manganese	Nickel	Organic Carbon	OM	Potassium Ion	Selenium	Silicon	Sodium Ion	Sulfate	Titanium	Total Nitrate	Vanadium	Zinc
8/26/2001	1.35	0.020833333	0.064372943	0.003166667	0.074166667	0.001168071	0.012074024	0.062373253	0.002166667	0.002166667	0.105976127	0.011920616	0.007416667	0.002916667	0.001583333	0.406414266	0.568979972	0.022183549	0.002833333	0.019167267	0.101617846	0.151415664	0.003438234	0.074431906	0.003166667	0.002334747
8/29/2001	2.1	0.020833333	0.160588405	0.003166667	0.074166667	0.001179095	0.015622577	0.0125	0.002166667	0.001614124	0.109603984	0.01197136	0.007416667	0.002587914	0.001583333	0.456922094	0.639690932	0.020937821	0.002833333	0.022060145	0.030930589	0.394262227	0.003460019	0.07469564	0.003166667	0.002397382
9/1/2001	0.87	0.020833333	0.074119065	0.003166667	0.074166667	0.002666667	0.010610875	0.0125	0.002166667	0.002166667	0.107003889	0.010515816	0.007416667	0.002916667	0.001583333	0.332924475	0.466094264	0.021074853	0.002833333	0.018828925	0.042448402	0.172576196	0.004416667	0.073630178	0.003166667	0.002101222
9/4/2001	2.24	0.01676	6.74	0.00392	0.0272	0.01468	0.143	0.01054	0.00208	0.01126	2.58	0.326	0.01728	0.00792	0.00512	16.88	23.632	0.2288	0.00548	0.209	0.3524	15.04	0.0146	5.08	0.00932	0.0534
9/10/2001	0.85	0.020833333	0.065183114	0.003166667	0.074166667	0.001167258	0.013045426	0.0125	0.002166667	0.001636322	0.110596532	0.016360349	0.007416667	0.002213096	0.001265794	0.315769833	0.442077766	0.021201106	0.001315277	0.019387648	0.095058353	0.178711788	0.002863989	0.07393108	0.003166667	0.003088611
9/13/2001	1.91	0.020833333	0.114405576	0.003166667	0.074166667	0.001219277	0.016185715	0.0125	0.002166667	0.001695635	0.153100729	0.017546824	0.007416667	0.002192686	0.001269762	0.636507546	0.891110564	0.021276001	0.002833333	0.020524132	0.089511012	0.267672904	0.002817334	0.077183309	0.001903571	0.002484415
9/16/2001	0.72	0.020833333	0.054039415	0.003166667	0.074166667	0.002666667	0.010998561	0.0125	0.002166667	0.001610147	0.108472978	0.011336166	0.007416667	0.002916667	0.001583333	0.380336519	0.532471126	0.021115285	0.002833333	0.018937901	0.037268891	0.117790251	0.004416667	0.07415971	0.003166667	0.002131998
9/19/2001	1.75	0.020833333	0.136237424	0.003166667	0.074166667	0.001254986	0.012005299	0.0125	0.002166667	0.001598999	0.119043401	0.011746849	0.007416667	0.002916667	0.001583333	0.440269981	0.616377973	0.021246334	0.002833333	0.020528519	0.228592768	0.30419491	0.002788991	0.099701786	0.001689759	0.002265534
9/22/2001	2.1	0.020833333	0.158224163	0.003166667	0.074166667	0.001181429	0.011858115	0.0125	0.002166667	0.001607249	0.110867901	0.011425444	0.007416667	0.002133011	0.001583333	0.508519569	0.711927397	0.021027057	0.002833333	0.020066141	0.055391701	0.397736776	0.002748311	0.093946667	0.003166667	0.002146862
9/25/2001	0.42	0.020833333	0.05831122	0.003166667	0.074166667	0.002666667	0.01064999	0.0125	0.002166667	0.002166667	0.106064864	0.010535798	0.007416667	0.002916667	0.001583333	0.274851116	0.384791562	0.02	0.002833333	0.018590923	0.3524	0.134409461	0.004416667	0.073183211	0.003166667	0.002081184
